id,varietal_3,varietal_2,varietal_1,species,notes,links
2,Arabica,Arabica,Arabica,Arabica,,
111,Arara,Catuai,Bourbon,Arabica,yellow Catuai and the Obata (Hybrid of Timor) varieties,
81,Arusha,SL,Bourbon,Arabica,,
91,Ateng,Timor Hybrid,Hybrid,Hybrid,,
113,Batian,Ruiru 11,Hybrid,Hybrid,"SL28, SL34, Rume Sudan, N39, K7, SL4 and the Timor Hybrid",https://varieties.worldcoffeeresearch.org/varieties/batian
4,Blue Mountain,Blue Mountain,Typica,Arabica,,
1,Bourbon,Bourbon,Bourbon,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/bourbon
96,Bourbon Gayo,Bourbon,Bourbon,Arabica,,
84,Brasil Bourbon,Bourbon,Bourbon,Arabica,,
5,Castillo,Castillo,Cultivar,Robusta,,
109,Cataui,Cataui,Bourbon,Arabica,"Mundo Novo, Caturra",https://varieties.worldcoffeeresearch.org/varieties/catuai
95,Catimor,Catimor,Hybrid,Hybrid,Caturra and Timor Hybrid,https://varieties.worldcoffeeresearch.org/varieties/t5175
87,Catimor 129,Catimor,Hybrid,Hybrid,Caturra and Timor Hybrid,https://varieties.worldcoffeeresearch.org/varieties/catimor-129
9,Catuai,Catuai,Bourbon,Arabica,,
10,Caturra,Caturra,Bourbon,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/caturra
11,Centroamericano,Centroamericano,Hybrid,Hybrid,"T5296, Rume Sudan",https://varieties.worldcoffeeresearch.org/varieties/centroamericano
12,Colombia,Colombia,Hybrid,Hybrid,"Caturra,Timor Hybrid",
13,Colombia F8,Colombia,Hybrid,Hybrid,,
89,Criollo,Criollo,Typica,Arabica,,
117,Crowned Garuda,Arabica,Arabica,Arabica,,
69,Cultivar,Cultivar,Cultivar,Cultivar,,
15,Dega,Landraces,Heirlooms,Arabica,,
16,Djember,Jember,Cultivar,Arabica,"Kent,Arabica",
17,Ethiopia Landraces,Landraces,Heirlooms,Arabica,,
126,Ethiopian Bourbon,Bourbon,Bourbon,Arabica,,
19,F1 Hybrid,Hybrid,Hybrid,Hybrid,,
90,French Mission Bourbon,Bourbon,Bourbon,Arabica,,
82,Geisha,Geisha,Heirlooms,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/geisha
20,Gemadro,Landraces,Heirlooms,Arabica,,
21,Heirlooms,Heirlooms,Heirlooms,Arabica,,
78,Icatu,Icatu,Hybrid,Hybrid,"Robusta and Red Bourbon, then backcrossed with Mundo Novo",
93,Indigenous Landraces,Landraces,Heirlooms,Arabica,,
22,Jackson,Jackson,Bourbon,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/jackson-2-1257
74,Jarc Selections,Heirlooms,Heirlooms,Arabica,,
24,Java,Java,Heirlooms,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/java
120,K7,K7,Bourbon,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/k7
76,Kent,Kent,Typica,Arabica,,
28,Kurume,Landraces,Heirlooms,Arabica,,
29,Lempira,Lempira,Catimor,Hybrid,"Timor Hybrid, Caturra",https://varieties.worldcoffeeresearch.org/varieties/lempira
104,Mandela,Mandela,Cultivar,Hybrid,"Caturra,Timor Hybrid,Villa Sarchi,Rume Sudan",https://cafegranjalaesperanza.sensible.coffee/en/lots/mandela-caribe-2
30,Maracaturra,Caturra,Bourbon,Arabica,,
119,Maragogipe,Maragogipe,Typica,Arabica,Typica,https://varieties.worldcoffeeresearch.org/varieties/magarogipe
31,Marsellesa,Marsellesa,Hybrid,Hybrid,"Timor Hybrid, Villa Sarchi",https://varieties.worldcoffeeresearch.org/varieties/marsellesa
101,Mayaguez,Mayaguez,Bourbon,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/bourbon-mayaguez-71
88,Mejorado,Mejorado,Bourbon,Arabica,"Bourbon,Ethiopian Landraces",
32,Mibirizi,Mibirizi,Typica,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/mibirizi
33,Mikicho,Landraces,Heirlooms,Arabica,,
72,Mixed,Hybrid,Hybrid,Hybrid,,
35,Mundo Novo,Mundo Novo,Hybrid,Arabica,"Typica, Bourbon",https://varieties.worldcoffeeresearch.org/varieties/mundo-novo
70,N39 (Bourbon AA),Bourbon,Bourbon,Arabica,,
36,Novo Hybrid,Mundo Novo,Hybrid,Arabica,,
37,Obata,Obata,Sarchimor,Hybrid,"Sarchimor, Mundo Novo",https://varieties.worldcoffeeresearch.org/varieties/obata-rojo
38,Orange Bourbon,Bourbon,Bourbon,Arabica,,
40,Pacamara,Pacamara,Hybrid,Arabica,Hybrid of Maragogype and Pacas,https://varieties.worldcoffeeresearch.org/varieties/pacamara
39,Pacas,Bourbon,Bourbon,Arabica,,
41,Pache,Pache,Typica,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/pache
98,Pachesan Ramon,Typica,Typica,Arabica,,
73,Parainema,Parainema,Sarchimor,Hybrid,,https://varieties.worldcoffeeresearch.org/varieties/parainema
43,Peaberry,Peaberry,Hybrid,Hybrid,"Refers to a mutation which produces single beans rather than two; round, ""pea-like"" shape",
83,Pink Bourbon,Bourbon,Bourbon,Arabica,,
44,Pluma,Typica,Typica,Arabica,,
45,Red Bourbon,Bourbon,Bourbon,Arabica,,
46,Red Catuai,Catuai,Bourbon,Arabica,,
47,Red Caturra,Caturra,Bourbon,Arabica,,
48,Red Pacamara,Pacamara,Hybrid,Arabica,,
49,Red Typica,Typica,Typica,Arabica,,
97,Regional Landraces,Landraces,Heirlooms,Arabica,,
50,Robusta,Robusta,Robusta,Robusta,,
